registered_charity_number,iati_publisher_id,iati_publisher_name,iati_publisher_slug,iati_license_id,iati_id_as_declared,retrieved_utc
1000717,GB-CHC-1000717,CODA International,coda,cc-by,GB-CHC-1000717,2026-08-15T14:06:31Z
1001349,GB-CHC-1001349,Samaritan's Purse UK,spuk,cc-by,GB-CHC-1001349,2026-08-15T14:06:31Z
1001698,GB-CHC-1001698,Interact Worldwide,iww_publish,cc-by,GB-CHC-1001698,2026-08-15T14:06:31Z
1001813,GB-CHC-1001813,The HALO Trust,halo,other-open,GB-CHC-1001813,2026-08-15T14:06:31Z
1013587,GB-CHC-1013587,Chance for Childhood,chanceforchildhood,odc-by,GB-CHC-1013587,2026-08-15T14:06:31Z
1016676,GB-CHC-1016676,INTRAC,intrac,odc-by,GB-CHC-1016676,2026-08-15T14:06:31Z
1017255,GB-CHC-1017255,Homeless International,hi,cc-by,GB-CHC-1017255,2026-08-15T14:06:31Z
1017336,GB-CHC-1017336,Elton John AIDS Foundation,ejaf,odc-by,GB-CHC-1017336,2026-08-15T14:06:31Z
1020488,GB-CHC-1020488,Children in Crisis,cic,other-open,GB-CHC-1020488,2026-08-15T14:06:31Z
1024903,GB-CHC-1024903,Hospice Africa Ltd,hauk,other-open,GB-CHC-1024903,2026-08-15T14:06:31Z
1027201,GB-CHC-1027201,Institute for War & Peace Reporting,iwpr,other-open,GB-CHC-1027201,2026-08-15T14:06:31Z
1029161,GB-CHC-1029161,Camfed International,camfed,odc-odbl,GB-CHC-1029161,2026-08-15T14:06:31Z
1030884,GB-CHC-1030884,The Wildfowl and Wetlands Trust,gb-chc-1030884,cc-by,GB-CHC-1030884,2026-08-15T14:06:31Z
1038785,GB-CHC-1038785,Mifumi UK,mifumi_uk,cc-by,GB-CHC-1038785,2026-08-15T14:06:31Z
1038860,GB-CHC-1038860,Frontline AIDS,f-aids,odc-by,GB-CHC-1038860,2026-08-15T14:06:31Z
1043843,GB-CHC-1043843,Saferworld,saferworld,odc-pddl,GB-CHC-1043843,2026-08-15T14:06:31Z
1046001,GB-CHC-1046001,Disability and Development Partners,ddp,cc-by,GB-CHC-1046001,2026-08-15T14:06:31Z
1046579,GB-CHC-1046579,Consortium for Street Children,csc,other-open,GB-CHC-1046579,2026-08-15T14:06:31Z
1047501,GB-CHC-1047501,Action Against Hunger UK,acf,cc-by,GB-CHC-1047501,2026-08-15T14:06:31Z
1047608,GB-CHC-1047608,Alliance of Religions and Conservation,alliance_of_religions_and_conservation,cc-by,GB-CHC-1047608,2026-08-15T14:06:31Z
