organisation_number,primary_sdg,primary_sdg_title,secondary_sdgs,focus_summary,sdg_confidence,overseas_engagement,engagement_confidence,tag_model
200050,3,Good Health and Well-being,10,Improves welfare and quality of life of children with disabilities.,high,uk_fundraising_only,high,claude-haiku-4-5
200240,16,"Peace, Justice and Strong Institutions",1; 4,Supports Sisters' Christian ministry and charitable work worldwide.,low,operates_directly_abroad,medium,claude-haiku-4-5
200435,3,Good Health and Well-being,1,Supports disaster relief and distributes medical equipment internationally.,medium,operates_directly_abroad,high,claude-haiku-4-5
201951,1,No Poverty,,Makes grants to charitable organizations for unspecified purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
202269,16,"Peace, Justice and Strong Institutions",4,Supports evangelistic outreach and church growth in deprived UK areas.,medium,uk_fundraising_only,high,claude-haiku-4-5
202918,1,No Poverty,10; 5,Prevents and relieves poverty globally through humanitarian and development work.,high,operates_directly_abroad,high,claude-haiku-4-5
204948,1,No Poverty,4,Provides relief to poor people in southwest Uganda through Ugandan charities.,high,funds_partners_abroad,high,claude-haiku-4-5
205533,3,Good Health and Well-being,,Advances health and healthcare to prevent and treat sickness.,high,uk_fundraising_only,high,claude-haiku-4-5
205666,15,Life on Land,,Promotes conservation and study of amphibians and reptiles through research.,high,uk_fundraising_only,high,claude-haiku-4-5
205773,15,Life on Land,13,Funds research and exploration of the Antarctic region and ecosystem.,medium,operates_directly_abroad,high,claude-haiku-4-5
205813,1,No Poverty,,Provides poverty relief to Freemasons and vulnerable people.,high,uk_fundraising_only,high,claude-haiku-4-5
206169,16,"Peace, Justice and Strong Institutions",,"Promotes Vedanta philosophy through meditation, education, and spiritual centers.",low,uk_fundraising_only,medium,claude-haiku-4-5
206243,1,No Poverty,8,Provides financial relief and care to serving and retired naval personnel.,high,uk_fundraising_only,high,claude-haiku-4-5
206271,3,Good Health and Well-being,4,Advances scientific research in preventive medicine and disease understanding.,high,uk_fundraising_only,high,claude-haiku-4-5
206312,1,No Poverty,8,Provides financial assistance to railway workers and their families in need.,high,uk_fundraising_only,high,claude-haiku-4-5
206325,1,No Poverty,,Makes discretionary grants for unspecified charitable purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
206326,1,No Poverty,,Makes grants to charitable causes worldwide.,low,funds_partners_abroad,medium,claude-haiku-4-5
206504,16,"Peace, Justice and Strong Institutions",4,Promotes peace and conflict resolution through international security research.,high,operates_directly_abroad,high,claude-haiku-4-5
206529,1,No Poverty,4,Provides relief and education assistance to female naval service members.,high,uk_fundraising_only,high,claude-haiku-4-5
206624,1,No Poverty,4,Makes grants for poverty relief or education advancement.,medium,uk_fundraising_only,low,claude-haiku-4-5
206658,15,Life on Land,,Protects and rehabilitates horses through UK centers and overseas community work.,high,operates_directly_abroad,high,claude-haiku-4-5
206681,1,No Poverty,,Distributes income to charitable causes worldwide.,low,funds_partners_abroad,low,claude-haiku-4-5
206860,1,No Poverty,4,Provides financial assistance for insurance workers' education and hardship relief.,high,uk_fundraising_only,high,claude-haiku-4-5
206882,9,"Industry, Innovation and Infrastructure",4,Promotes mechanical engineering development and knowledge exchange.,high,uk_fundraising_only,medium,claude-haiku-4-5
206929,1,No Poverty,16,"Provides relief to Polish WWII military personnel, widows, and maintains memorials.",high,uk_fundraising_only,high,claude-haiku-4-5
206957,4,Quality Education,16,Educates students for the Catholic priesthood at English College in Spain.,high,operates_directly_abroad,high,claude-haiku-4-5
207031,4,Quality Education,1,Funds education and research for agricultural development and immigrants to Israel.,medium,funds_partners_abroad,high,claude-haiku-4-5
207076,15,Life on Land,4,Conserves wild birds and natural habitats through protection and education.,high,uk_fundraising_only,high,claude-haiku-4-5
207102,8,Decent Work and Economic Growth,1; 4,Addresses slavery and poverty in Africa through education and relief work.,high,operates_directly_abroad,high,claude-haiku-4-5
207314,3,Good Health and Well-being,4,Provides counselling and relationship advice to improve mental health and family.,high,uk_fundraising_only,high,claude-haiku-4-5
207392,16,"Peace, Justice and Strong Institutions",10,Supports initiatives reducing social exclusion and conflict in UK and Israeli society.,medium,funds_partners_abroad,medium,claude-haiku-4-5
207400,10,Reduced Inequalities,3,Tackles loneliness and social isolation internationally using technology.,medium,operates_directly_abroad,medium,claude-haiku-4-5
207471,16,"Peace, Justice and Strong Institutions",4,Protects persecuted academics worldwide and supports academic freedom.,high,operates_directly_abroad,high,claude-haiku-4-5
207478,15,Life on Land,4,Promotes conservation and knowledge of alpine plants through education.,high,operates_directly_abroad,medium,claude-haiku-4-5
207530,3,Good Health and Well-being,4,Advances internal medicine through international research and publication.,high,operates_directly_abroad,high,claude-haiku-4-5
207544,3,Good Health and Well-being,1; 10,Prevents and treats avoidable blindness in developing countries through partnerships.,high,funds_partners_abroad,high,claude-haiku-4-5
207619,15,Life on Land,4; 9,Promotes seabird conservation research and education through global database.,medium,operates_directly_abroad,medium,claude-haiku-4-5
207692,16,"Peace, Justice and Strong Institutions",1,Provides financial assistance to Christian Scientists and supports church work.,medium,uk_fundraising_only,medium,claude-haiku-4-5
207736,1,No Poverty,3,Provides financial assistance and support to Anglican clergy families in need.,high,uk_fundraising_only,high,claude-haiku-4-5
207743,6,Clean Water and Sanitation,,Provides clean water in UK and overseas through boreholes and irrigation.,high,operates_directly_abroad,high,claude-haiku-4-5
207812,1,No Poverty,,Provides financial assistance and advice to UK residents living in poverty.,high,uk_fundraising_only,high,claude-haiku-4-5
207813,4,Quality Education,1,Enables UK students and poor children to study at Australian universities.,high,funds_partners_abroad,high,claude-haiku-4-5
207822,16,"Peace, Justice and Strong Institutions",4,"Promotes peace, non-violence, and supports victims through education and advocacy.",high,uk_fundraising_only,high,claude-haiku-4-5
207890,4,Quality Education,9,"Advances chemistry through research publication, professional development, education.",high,operates_directly_abroad,high,claude-haiku-4-5
207898,1,No Poverty,4,Makes grants for poverty relief and education assistance to individuals.,high,uk_fundraising_only,high,claude-haiku-4-5
207899,4,Quality Education,16,Promotes Christianity to young people through local churches and schools.,medium,uk_fundraising_only,high,claude-haiku-4-5
207958,10,Reduced Inequalities,1,Provides grants and relief to Baltic Jewish residents in Great Britain.,medium,uk_fundraising_only,high,claude-haiku-4-5
207996,15,Life on Land,4,"Promotes animal welfare standards through research, education, and best practices.",high,operates_directly_abroad,high,claude-haiku-4-5
207997,16,"Peace, Justice and Strong Institutions",,Supports Methodist church charitable work and organizations in South Wales UK.,medium,uk_fundraising_only,high,claude-haiku-4-5
208074,16,"Peace, Justice and Strong Institutions",4,Supports Protestants undertaking evangelistic work and missionary activities.,medium,operates_directly_abroad,medium,claude-haiku-4-5
208079,16,"Peace, Justice and Strong Institutions",1,Advances religion and provides support to members through education and advocacy.,low,uk_fundraising_only,medium,claude-haiku-4-5
208205,15,Life on Land,4,Promotes scientific research and conservation of molluscs worldwide.,high,operates_directly_abroad,medium,claude-haiku-4-5
208215,1,No Poverty,8,Provides retirement housing and relief to journalists and their dependents.,high,uk_fundraising_only,high,claude-haiku-4-5
208433,1,No Poverty,,Provides support to James Peek descendants and others facing hardship.,medium,uk_fundraising_only,high,claude-haiku-4-5
208530,15,Life on Land,4,Funds animal welfare organizations in Italy through medicines and education.,high,funds_partners_abroad,high,claude-haiku-4-5
208673,4,Quality Education,9,"Promotes international research on Greek history, archaeology, and culture.",high,operates_directly_abroad,high,claude-haiku-4-5
208724,1,No Poverty,16,Fights poverty in developing countries through advocacy and partnerships.,high,operates_directly_abroad,high,claude-haiku-4-5
208727,1,No Poverty,8,Provides financial relief to marine engineers and their families in hardship.,high,uk_fundraising_only,high,claude-haiku-4-5
208728,15,Life on Land,4; 9,Advances animal conservation and scientific research globally.,high,operates_directly_abroad,high,claude-haiku-4-5
208865,16,"Peace, Justice and Strong Institutions",,Provides endowment for the Anglican bishopric of the Falkland Islands.,medium,operates_directly_abroad,high,claude-haiku-4-5
208866,1,No Poverty,3,Grants to refugees and asylum seekers for poverty relief globally.,medium,funds_partners_abroad,medium,claude-haiku-4-5
208870,16,"Peace, Justice and Strong Institutions",1,Gospel ministrations and spiritual guidance to poor communities.,low,uk_fundraising_only,high,claude-haiku-4-5
208882,1,No Poverty,4,Supports people in printing and allied trades with financial assistance.,high,uk_fundraising_only,high,claude-haiku-4-5
208925,1,No Poverty,8,Welfare support and financial assistance for engineering professionals.,high,uk_fundraising_only,high,claude-haiku-4-5
209015,15,Life on Land,3,Prevents suffering to working animals through veterinary care.,high,uk_fundraising_only,low,claude-haiku-4-5
209058,1,No Poverty,4,Funds Jewish charities addressing poverty and education.,low,uk_fundraising_only,high,claude-haiku-4-5
209126,1,No Poverty,4,Financial support and education to children in hardship.,high,uk_fundraising_only,high,claude-haiku-4-5
209131,4,Quality Education,17,Promotes cultural understanding and English language across 100+ countries.,high,operates_directly_abroad,high,claude-haiku-4-5
209133,3,Good Health and Well-being,16,Spiritual and material support to seafarers globally.,medium,uk_fundraising_only,low,claude-haiku-4-5
209168,3,Good Health and Well-being,4,"Funds Christian Medical College in Vellore, India for healthcare access.",high,funds_partners_abroad,high,claude-haiku-4-5
209222,4,Quality Education,15,Promotes bee science and beekeeping research worldwide.,medium,funds_partners_abroad,medium,claude-haiku-4-5
209251,15,Life on Land,4,Wildlife conservation education programs in East Africa.,high,operates_directly_abroad,high,claude-haiku-4-5
209266,3,Good Health and Well-being,1,Funds Jewish child welfare organizations in UK and Israel.,high,funds_partners_abroad,high,claude-haiku-4-5
209280,1,No Poverty,3,Convalescent support to retail newsagent federation members.,high,uk_fundraising_only,high,claude-haiku-4-5
209373,1,No Poverty,,Financial relief to Strict Baptist clergy and members.,high,uk_fundraising_only,high,claude-haiku-4-5
209425,4,Quality Education,16,Advances study and research in international and comparative law.,high,uk_fundraising_only,high,claude-haiku-4-5
209465,1,No Poverty,4; 9,Welfare support to engineers and development projects globally.,medium,funds_partners_abroad,medium,claude-haiku-4-5
209489,1,No Poverty,,Grants to relieve poverty and unemployment among elderly.,high,uk_fundraising_only,high,claude-haiku-4-5
209603,3,Good Health and Well-being,11,Saves lives at sea and inland waters through rescue services.,high,uk_fundraising_only,high,claude-haiku-4-5
209610,16,"Peace, Justice and Strong Institutions",,Promotes Christian peacemaking and opposition to war.,medium,uk_fundraising_only,high,claude-haiku-4-5
209677,11,Sustainable Cities and Communities,4,Coordinates conservation professionals for heritage preservation.,high,operates_directly_abroad,medium,claude-haiku-4-5
209691,4,Quality Education,17,Raises awareness and funds for Hebrew University of Jerusalem.,high,funds_partners_abroad,high,claude-haiku-4-5
209706,4,Quality Education,17,Conducts social science research supporting organizational development.,high,operates_directly_abroad,medium,claude-haiku-4-5
210022,4,Quality Education,1,Provides financial assistance to Jewish university students.,high,uk_fundraising_only,high,claude-haiku-4-5
210037,16,"Peace, Justice and Strong Institutions",1,Funds organizations addressing root causes of conflict and injustice.,high,funds_partners_abroad,medium,claude-haiku-4-5
210040,3,Good Health and Well-being,4,Funds medical and educational work in Newfoundland and Labrador.,high,funds_partners_abroad,high,claude-haiku-4-5
210066,14,Life Below Water,9,Promotes maritime safety and marine environmental protection globally.,high,operates_directly_abroad,high,claude-haiku-4-5
210110,1,No Poverty,5,Funds relief of Armenian widows and orphans.,high,funds_partners_abroad,high,claude-haiku-4-5
210183,3,Good Health and Well-being,4,Funds health research and scientific innovation globally.,high,funds_partners_abroad,high,claude-haiku-4-5
210202,1,No Poverty,3,Relief and assistance to Royal Artillery members and dependants.,high,uk_fundraising_only,high,claude-haiku-4-5
210252,9,"Industry, Innovation and Infrastructure",11,Promotes civil engineering and sustainable infrastructure globally.,high,operates_directly_abroad,medium,claude-haiku-4-5
210563,1,No Poverty,4; 16,Funds worldwide movements addressing poverty and social injustice.,high,funds_partners_abroad,high,claude-haiku-4-5
210566,9,"Industry, Innovation and Infrastructure",11,Advances architecture practice and professional excellence.,high,uk_fundraising_only,high,claude-haiku-4-5
210621,1,No Poverty,4,Regiment benevolence and education scholarships in Sussex.,high,uk_fundraising_only,high,claude-haiku-4-5
