org_id,vocabulary,code,confidence
GB-CHC-200050,sdg_primary,3,high
GB-CHC-200050,sdg_secondary,10,high
GB-CHC-200050,overseas_engagement,uk_fundraising_only,high
GB-CHC-200240,sdg_primary,16,low
GB-CHC-200240,sdg_secondary,1,low
GB-CHC-200240,sdg_secondary,4,low
GB-CHC-200240,overseas_engagement,operates_directly_abroad,medium
GB-CHC-200435,sdg_primary,3,medium
GB-CHC-200435,sdg_secondary,1,medium
GB-CHC-200435,overseas_engagement,operates_directly_abroad,high
GB-CHC-201951,sdg_primary,1,low
GB-CHC-201951,overseas_engagement,uk_fundraising_only,low
GB-CHC-202269,sdg_primary,16,medium
GB-CHC-202269,sdg_secondary,4,medium
GB-CHC-202269,overseas_engagement,uk_fundraising_only,high
GB-CHC-202918,sdg_primary,1,high
GB-CHC-202918,sdg_secondary,5,high
GB-CHC-202918,sdg_secondary,10,high
GB-CHC-202918,overseas_engagement,operates_directly_abroad,high
GB-CHC-204948,sdg_primary,1,high
GB-CHC-204948,sdg_secondary,4,high
GB-CHC-204948,overseas_engagement,funds_partners_abroad,high
GB-CHC-205533,sdg_primary,3,high
GB-CHC-205533,overseas_engagement,uk_fundraising_only,high
GB-CHC-205666,sdg_primary,15,high
GB-CHC-205666,overseas_engagement,uk_fundraising_only,high
GB-CHC-205773,sdg_primary,15,medium
GB-CHC-205773,sdg_secondary,13,medium
GB-CHC-205773,overseas_engagement,operates_directly_abroad,high
GB-CHC-205813,sdg_primary,1,high
GB-CHC-205813,overseas_engagement,uk_fundraising_only,high
GB-CHC-206169,sdg_primary,16,low
GB-CHC-206169,overseas_engagement,uk_fundraising_only,medium
GB-CHC-206243,sdg_primary,1,high
GB-CHC-206243,sdg_secondary,8,high
GB-CHC-206243,overseas_engagement,uk_fundraising_only,high
GB-CHC-206271,sdg_primary,3,high
GB-CHC-206271,sdg_secondary,4,high
GB-CHC-206271,overseas_engagement,uk_fundraising_only,high
GB-CHC-206312,sdg_primary,1,high
GB-CHC-206312,sdg_secondary,8,high
GB-CHC-206312,overseas_engagement,uk_fundraising_only,high
GB-CHC-206325,sdg_primary,1,low
GB-CHC-206325,overseas_engagement,uk_fundraising_only,low
GB-CHC-206326,sdg_primary,1,low
GB-CHC-206326,overseas_engagement,funds_partners_abroad,medium
GB-CHC-206504,sdg_primary,16,high
GB-CHC-206504,sdg_secondary,4,high
GB-CHC-206504,overseas_engagement,operates_directly_abroad,high
GB-CHC-206529,sdg_primary,1,high
GB-CHC-206529,sdg_secondary,4,high
GB-CHC-206529,overseas_engagement,uk_fundraising_only,high
GB-CHC-206624,sdg_primary,1,medium
GB-CHC-206624,sdg_secondary,4,medium
GB-CHC-206624,overseas_engagement,uk_fundraising_only,low
GB-CHC-206658,sdg_primary,15,high
GB-CHC-206658,overseas_engagement,operates_directly_abroad,high
GB-CHC-206681,sdg_primary,1,low
GB-CHC-206681,overseas_engagement,funds_partners_abroad,low
GB-CHC-206860,sdg_primary,1,high
GB-CHC-206860,sdg_secondary,4,high
GB-CHC-206860,overseas_engagement,uk_fundraising_only,high
GB-CHC-206882,sdg_primary,9,high
GB-CHC-206882,sdg_secondary,4,high
GB-CHC-206882,overseas_engagement,uk_fundraising_only,medium
GB-CHC-206929,sdg_primary,1,high
GB-CHC-206929,sdg_secondary,16,high
GB-CHC-206929,overseas_engagement,uk_fundraising_only,high
GB-CHC-206957,sdg_primary,4,high
GB-CHC-206957,sdg_secondary,16,high
GB-CHC-206957,overseas_engagement,operates_directly_abroad,high
GB-CHC-207031,sdg_primary,4,medium
GB-CHC-207031,sdg_secondary,1,medium
GB-CHC-207031,overseas_engagement,funds_partners_abroad,high
GB-CHC-207076,sdg_primary,15,high
GB-CHC-207076,sdg_secondary,4,high
GB-CHC-207076,overseas_engagement,uk_fundraising_only,high
GB-CHC-207102,sdg_primary,8,high
GB-CHC-207102,sdg_secondary,1,high
GB-CHC-207102,sdg_secondary,4,high
GB-CHC-207102,overseas_engagement,operates_directly_abroad,high
GB-CHC-207314,sdg_primary,3,high
GB-CHC-207314,sdg_secondary,4,high
GB-CHC-207314,overseas_engagement,uk_fundraising_only,high
GB-CHC-207392,sdg_primary,16,medium
GB-CHC-207392,sdg_secondary,10,medium
GB-CHC-207392,overseas_engagement,funds_partners_abroad,medium
GB-CHC-207400,sdg_primary,10,medium
GB-CHC-207400,sdg_secondary,3,medium
GB-CHC-207400,overseas_engagement,operates_directly_abroad,medium
GB-CHC-207471,sdg_primary,16,high
GB-CHC-207471,sdg_secondary,4,high
GB-CHC-207471,overseas_engagement,operates_directly_abroad,high
GB-CHC-207478,sdg_primary,15,high
GB-CHC-207478,sdg_secondary,4,high
GB-CHC-207478,overseas_engagement,operates_directly_abroad,medium
GB-CHC-207530,sdg_primary,3,high
GB-CHC-207530,sdg_secondary,4,high
GB-CHC-207530,overseas_engagement,operates_directly_abroad,high
GB-CHC-207544,sdg_primary,3,high
GB-CHC-207544,sdg_secondary,1,high
GB-CHC-207544,sdg_secondary,10,high
GB-CHC-207544,overseas_engagement,funds_partners_abroad,high
GB-CHC-207619,sdg_primary,15,medium
GB-CHC-207619,sdg_secondary,4,medium
GB-CHC-207619,sdg_secondary,9,medium
GB-CHC-207619,overseas_engagement,operates_directly_abroad,medium
GB-CHC-207692,sdg_primary,16,medium
GB-CHC-207692,sdg_secondary,1,medium
GB-CHC-207692,overseas_engagement,uk_fundraising_only,medium
GB-CHC-207736,sdg_primary,1,high
GB-CHC-207736,sdg_secondary,3,high
GB-CHC-207736,overseas_engagement,uk_fundraising_only,high
GB-CHC-207743,sdg_primary,6,high
GB-CHC-207743,overseas_engagement,operates_directly_abroad,high
GB-CHC-207812,sdg_primary,1,high
GB-CHC-207812,overseas_engagement,uk_fundraising_only,high
GB-CHC-207813,sdg_primary,4,high
GB-CHC-207813,sdg_secondary,1,high
GB-CHC-207813,overseas_engagement,funds_partners_abroad,high
GB-CHC-207822,sdg_primary,16,high
GB-CHC-207822,sdg_secondary,4,high
GB-CHC-207822,overseas_engagement,uk_fundraising_only,high
