org_id,scheme,identifier,publisher_name,registry_slug,url
GB-CHC-202918,IATI,GB-CHC-202918,Oxfam GB,oxfamgb,https://dashboard.iatistandard.org/publishers/oxfamgb/
GB-CHC-206504,IATI,GB-CHC-206504,The International Institute for Strategic Studies,iiss,https://dashboard.iatistandard.org/publishers/iiss/
GB-CHC-206658,IATI,GB-CHC-206658,World Horse Welfare,whw2019,https://dashboard.iatistandard.org/publishers/whw2019/
GB-CHC-207076,IATI,GB-CHC-207076,Royal Society for the Protection of Birds,rspb_,https://dashboard.iatistandard.org/publishers/rspb_/
GB-CHC-207544,IATI,GB-CHC-207544,Sightsavers,ss-org,https://dashboard.iatistandard.org/publishers/ss-org/
GB-CHC-208724,IATI,GB-CHC-208724,War on Want,waronwant,https://dashboard.iatistandard.org/publishers/waronwant/
GB-CHC-209131,IATI,GB-CHC-209131,British Council,britishcouncil,https://dashboard.iatistandard.org/publishers/britishcouncil/
GB-CHC-209603,IATI,GB-CHC-209603,Royal National Lifeboat Institution (RNLI),rnli_international,https://dashboard.iatistandard.org/publishers/rnli_international/
GB-CHC-210639,IATI,GB-CHC-210639,The Royal United Services Institute for Defence and Security Studies,rusi,https://dashboard.iatistandard.org/publishers/rusi/
GB-CHC-213251,IATI,GB-CHC-213251,Lepra,lepra,https://dashboard.iatistandard.org/publishers/lepra/
GB-CHC-213280,IATI,GB-CHC-213280,Royal College of Obstetricians & Gynaecologists,rcog_resilience_in_obstetric_skills,https://dashboard.iatistandard.org/publishers/rcog_resilience_in_obstetric_skills/
GB-CHC-218186,IATI,GB-CHC-218186,Leonard Cheshire Disability,lcd_admin,https://dashboard.iatistandard.org/publishers/lcd_admin/
GB-CHC-220949,IATI,GB-CHC-220949,British Red Cross,gb-chc-220949,https://dashboard.iatistandard.org/publishers/gb-chc-220949/
GB-CHC-222655,IATI,GB-CHC-222655,Liverpool School of Tropical Medicine,lstm,https://dashboard.iatistandard.org/publishers/lstm/
GB-CHC-228248,IATI,GB-CHC-228248,ODI Global,odi,https://dashboard.iatistandard.org/publishers/odi/
GB-CHC-229476,IATI,GB-CHC-229476,International Planned Parenthood Federation,ippf,https://dashboard.iatistandard.org/publishers/ippf/
GB-CHC-250456,IATI,GB-CHC-250456,Find Your Feet,fyf,https://dashboard.iatistandard.org/publishers/fyf/
GB-CHC-254781,IATI,GB-CHC-254781,The International Children's Trust,theict,https://dashboard.iatistandard.org/publishers/theict/
GB-CHC-261488,IATI,GB-CHC-261488,Amref Health Africa - UK,amrefha,https://dashboard.iatistandard.org/publishers/amrefha/
GB-CHC-265464,IATI,GB-CHC-265464,Tearfund,tearfund,https://dashboard.iatistandard.org/publishers/tearfund/
GB-CHC-270901,IATI,GB-CHC-270901,Education Development Trust UK,eddevtrust,https://dashboard.iatistandard.org/publishers/eddevtrust/
GB-CHC-272465,IATI,GB-CHC-272465,United Purpose,cu,https://dashboard.iatistandard.org/publishers/cu/
GB-CHC-274467,IATI,GB-CHC-274467,ActionAid UK,aauk,https://dashboard.iatistandard.org/publishers/aauk/
GB-CHC-282305,IATI,GB-CHC-282305,Minority Rights Group,mrg,https://dashboard.iatistandard.org/publishers/mrg/
GB-CHC-285908,IATI,GB-CHC-285908,World Vision UK,wvuk,https://dashboard.iatistandard.org/publishers/wvuk/
GB-CHC-288701,IATI,GB-CHC-288701,WaterAid,wateraid,https://dashboard.iatistandard.org/publishers/wateraid/
GB-CHC-289036,IATI,GB-CHC-289036,Emmanuel International UK,eiuk,https://dashboard.iatistandard.org/publishers/eiuk/
GB-CHC-290767,IATI,GB-CHC-290767,World Jewish Relief,wjr_001,https://dashboard.iatistandard.org/publishers/wjr_001/
GB-CHC-290836,IATI,GB-CHC-290836,APT Action on Poverty,apt,https://dashboard.iatistandard.org/publishers/apt/
GB-CHC-291167,IATI,GB-CHC-291167,Jeevika Trust,jeevika_trust,https://dashboard.iatistandard.org/publishers/jeevika_trust/
GB-CHC-291691,IATI,GB-CHC-291691,All We Can (formerly Methodist Relief and Development Fund),allwecan,https://dashboard.iatistandard.org/publishers/allwecan/
GB-CHC-292506,IATI,GB-CHC-292506,CARE International UK,ciuk,https://dashboard.iatistandard.org/publishers/ciuk/
GB-CHC-293734,IATI,GB-CHC-293734,Christian Engineers in Development,ced,https://dashboard.iatistandard.org/publishers/ced/
GB-CHC-298316,IATI,GB-CHC-298316,Build Africa,buildafrica,https://dashboard.iatistandard.org/publishers/buildafrica/
GB-CHC-298375,IATI,GB-CHC-298375,Centre for Lebanese Studies,cls,https://dashboard.iatistandard.org/publishers/cls/
GB-CHC-299717,IATI,GB-CHC-299717,Send a Cow UK,sendacow,https://dashboard.iatistandard.org/publishers/sendacow/
GB-CHC-313392,IATI,GB-CHC-313392,National Foundation for Educational Research,nfer,https://dashboard.iatistandard.org/publishers/nfer/
GB-CHC-313757,IATI,GB-CHC-313757,Voluntary Service Overseas (VSO),vso,https://dashboard.iatistandard.org/publishers/vso/
GB-CHC-326859,IATI,GB-CHC-326859,Able Child Africa,ablechildafrica,https://dashboard.iatistandard.org/publishers/ablechildafrica/
GB-CHC-327421,IATI,GB-CHC-327421,Article19,art19,https://dashboard.iatistandard.org/publishers/art19/
GB-CHC-327461,IATI,GB-CHC-327461,Karuna Trust,karuna,https://dashboard.iatistandard.org/publishers/karuna/
GB-CHC-327519,IATI,GB-CHC-327519,Zimbabwe Educational Trust,zet,https://dashboard.iatistandard.org/publishers/zet/
GB-CHC-328158,IATI,GB-CHC-328158,Islamic Relief Worldwide,irw,https://dashboard.iatistandard.org/publishers/irw/
GB-CHC-328206,IATI,GB-CHC-328206,Womankind Worldwide,womankindworld,https://dashboard.iatistandard.org/publishers/womankindworld/
GB-CHC-328273,IATI,GB-CHC-328273,Food for the Hungry UK,fh,https://dashboard.iatistandard.org/publishers/fh/
GB-CHC-802353,IATI,GB-CHC-802353,Ethiopiaid UK,ethiopiaiduk,https://dashboard.iatistandard.org/publishers/ethiopiaiduk/
GB-CHC-1001349,IATI,GB-CHC-1001349,Samaritan's Purse UK,spuk,https://dashboard.iatistandard.org/publishers/spuk/
GB-CHC-1001813,IATI,GB-CHC-1001813,The HALO Trust,halo,https://dashboard.iatistandard.org/publishers/halo/
GB-CHC-1013587,IATI,GB-CHC-1013587,Chance for Childhood,chanceforchildhood,https://dashboard.iatistandard.org/publishers/chanceforchildhood/
GB-CHC-1016676,IATI,GB-CHC-1016676,INTRAC,intrac,https://dashboard.iatistandard.org/publishers/intrac/
GB-CHC-1017255,IATI,GB-CHC-1017255,Homeless International,hi,https://dashboard.iatistandard.org/publishers/hi/
GB-CHC-1017336,IATI,GB-CHC-1017336,Elton John AIDS Foundation,ejaf,https://dashboard.iatistandard.org/publishers/ejaf/
GB-CHC-1020488,IATI,GB-CHC-1020488,Children in Crisis,cic,https://dashboard.iatistandard.org/publishers/cic/
GB-CHC-1024903,IATI,GB-CHC-1024903,Hospice Africa Ltd,hauk,https://dashboard.iatistandard.org/publishers/hauk/
GB-CHC-1027201,IATI,GB-CHC-1027201,Institute for War & Peace Reporting,iwpr,https://dashboard.iatistandard.org/publishers/iwpr/
GB-CHC-1029161,IATI,GB-CHC-1029161,Camfed International,camfed,https://dashboard.iatistandard.org/publishers/camfed/
GB-CHC-1030884,IATI,GB-CHC-1030884,The Wildfowl and Wetlands Trust,gb-chc-1030884,https://dashboard.iatistandard.org/publishers/gb-chc-1030884/
